kicker,seas,season_score,season_attempts
Garrett Hartley,2012,-1.512252268,22
SS-3100,2007,-1.548479258,36
Olindo Mare,2004,-1.561780861,16
JH-0900,2002,-1.601003272,28
Kris Brown,2002,-1.653264984,24
Kris Brown,2000,-1.671918877,30
Ryan Longwell,2006,-1.728495294,25
JF-0900,2011,-1.750495056,24
Mike Nugent,2010,-1.795072277,19
MP-2100,2011,-1.804818015,30
JN-0600,2002,-1.811748685,35
SG-0800,2009,-1.815636683,32
Matt Stover,2001,-1.879354329,39
Josh Scobee,2008,-1.957355301,25
Matt Bryant,2006,-1.976598077,22
BC-2300,2001,-2.043967508,33
Rian Lindell,2010,-2.100129159,21
Sebastian Janikowski,2002,-2.113365334,40
Olindo Mare,2010,-2.121084074,33
Garrett Hartley,2010,-2.24161369,28
Jason Elam,2005,-2.243124358,35
David Akers,2000,-2.281681814,36
Matt Stover,2008,-2.314263486,37
Olindo Mare,2003,-2.462658794,29
Lawrence Tynes,2009,-2.480521728,32
Nate Kaeding,2004,-2.567165494,27
PD-0200,2000,-2.578527333,17
Gary Anderson,2004,-2.660030768,22
David Akers,2006,-2.660581206,27
Dan Bailey,2010,-2.686422012,32
Ryan Succop,2010,-2.737344766,26
JH-0900,2005,-2.743585536,24
Ryan Longwell,2011,-2.772593153,28
Mike Vanderjagt,2004,-2.78073309,26
David Akers,2005,-2.809068119,22
Rob Bironas,2006,-2.85209815,28
David Akers,2013,-2.864653872,24
Dan Carpenter,2010,-2.943688319,41
Lawrence Tynes,2007,-2.954740903,34
PD-0200,2002,-2.97586498,30
BC-3000,2004,-3.114535771,26
JC-2100,2002,-3.14386303,15
SG-0800,2006,-3.143943431,34
SG-0800,2007,-3.199245187,26
NF-0300,2011,-3.213606919,25
Olindo Mare,2002,-3.372073107,31
Shayne Graham,2002,-3.38854971,18
SC-0700,2003,-3.441230258,20
SC-0700,2004,-3.457970985,28
JH-0900,2001,-3.481355996,30
Mike Hollis,2002,-3.605106506,33
MP-2100,2008,-3.634862778,34
Lawrence Tynes,2004,-3.715128659,23
Robbie Gould,2005,-3.715803291,27
Todd Peterson,2001,-3.826635319,35
Rian Lindell,2004,-3.856210735,28
NF-0300,2012,-3.88428993,27
Josh Brown,2011,-4.212872236,28
JH-0900,2009,-4.257075986,28
Jeff Wilkins,2002,-4.269853215,25
Mike Nugent,2005,-4.337976392,28
SS-3100,2009,-4.395448807,29
BC-2300,2003,-4.404131598,19
Neil Rackers,2006,-4.630285813,37
Olindo Mare,2011,-4.774606965,28
John Carney,2000,-4.788220946,25
JN-0600,2001,-4.791312471,28
Sebastian Janikowski,2006,-4.799394532,25
Ryan Longwell,2002,-4.90108709,36
Josh Scobee,2004,-4.988533637,31
Mike Nugent,2007,-5.008099755,36
SS-3100,2011,-5.052718228,34
Kris Brown,2004,-5.08087784,24
DB-3900,2004,-5.143518307,35
Ryan Longwell,2005,-5.197096611,27
Rian Lindell,2002,-5.198225586,29
Josh Brown,2005,-5.236329379,33
JF-0900,2004,-5.281938342,25
BC-3000,2009,-5.29189699,26
JH-0900,2000,-5.304316742,30
JH-0500,2002,-5.39014003,35
Jeff Wilkins,2007,-5.397270608,32
GG-0100,2011,-5.42367549,41
Josh Brown,2003,-5.496030094,32
DR-0600,2006,-5.529595342,35
Gary Anderson,2002,-5.538205069,23
BG-1300,2002,-5.541757169,21
Sebastian Janikowski,2013,-5.594799198,30
DR-0600,2011,-5.911028479,15
John Carney,2009,-5.914485199,17
MP-2100,2012,-5.961125618,33
TS-1100,2000,-6.013822379,33
JH-0500,2001,-6.021764416,34
Kris Brown,2005,-6.131236625,34
Lawrence Tynes,2006,-6.1549177,33
JF-0900,2001,-6.168486768,37
Neil Rackers,2007,-6.172265278,30
Morten Andersen,2004,-6.229273711,24
Josh Scobee,2009,-6.377565252,28
CB-1700,2000,-6.416144347,23
Jeff Wilkins,2001,-6.442717137,36
Lawrence Tynes,2011,-6.449664699,34
David Akers,2007,-6.508915578,32
John Carney,2003,-6.582859222,30
Todd Peterson,2000,-6.648995549,20
John Carney,2005,-6.80712091,32
Josh Scobee,2005,-6.978841827,32
Mason Crosby,2009,-7.00970635,38
Mike Vanderjagt,2006,-7.072772607,18
JR-1100,2006,-7.102954369,27
JR-1100,2010,-7.217760899,32
PD-0200,2006,-7.22923598,29
PE-0100,2003,-7.271398299,36
SS-3100,2008,-7.349908784,36
JH-3800,2001,-7.395642429,16
Jason Elam,2000,-7.459346581,25
JC-5000,2005,-7.497626767,17
Jason Elam,2002,-7.586790808,36
Matt Bryant,2002,-7.651905441,34
Mike Vanderjagt,2002,-7.772229672,32
NF-0300,2010,-8.05778325,42
KH-1500,2000,-8.145145084,15
AE-0700,2003,-8.233023353,25
SC-0700,2002,-8.317030991,26
Adam Vinatieri,2007,-8.511359096,30
BC-3000,2011,-8.52968568,42
Shayne Graham,2009,-8.667088386,30
JF-0900,2002,-8.713900627,47
Ryan Longwell,2001,-8.735822684,34
DR-0600,2007,-8.836209609,22
Mason Crosby,2012,-9.077761843,35
JF-0900,2003,-9.227142264,27
Olindo Mare,2007,-9.259740254,17
Garrett Hartley,2013,-9.362477181,30
BD-0100,2000,-9.384898488,28
Olindo Mare,2006,-9.394127091,36
TS-1100,2001,-9.651618186,17
PE-0100,2005,-9.653865346,34
PE-0100,2004,-9.714051207,24
JR-1100,2003,-9.812131006,32
JT-4400,2002,-9.982876925,16
Wade Richey,2000,-10.33408966,22
Sebastian Janikowski,2005,-10.41024689,30
Sebastian Janikowski,2000,-10.50863439,36
Rian Lindell,2003,-10.53552398,24
BC-3000,2002,-10.80426373,19
SC-0700,2000,-11.26803152,35
GG-0100,2010,-11.30233447,35
JC-5000,2001,-11.56215941,26
OP-0200,2003,-12.11942844,15
AD-0800,2000,-12.22878457,37
Jason Elam,2009,-12.67116829,19
JC-5000,2002,-12.80879075,32
JH-0500,2000,-12.81733337,32
Adam Vinatieri,2003,-13.42769209,44
Martin Gramatica,2003,-13.49139899,26
NF-0300,2009,-13.99392977,28
Jake Arians,2001,-14.39465168,21
Mike Hollis,2001,-14.44307709,28
Rian Lindell,2001,-14.77962535,32
Martin Gramatica,2004,-15.01405354,19
Kris Brown,2009,-15.50237289,32
Neil Rackers,2000,-15.75826608,21
Todd Peterson,2002,-15.82425765,21
David Akers,2012,-16.18937129,47
Neil Rackers,2001,-17.10886893,28
Wade Richey,2001,-17.31062884,32
Kris Brown,2001,-20.4397351,49
Seth Marler,2003,-21.2069653,33
